"","idademae","consultas","mesprenat","gestacao","qtdfilvivo","qtdfilmort","qtdgestant","qtdpartnor","qtdpartces"
"idademae",1,0.0966666325524946,0.133624593347798,0.00624596929981823,0.400259681924723,0.197058673831236,0.415754288485936,0.316717815939339,0.220376538980527
"consultas",0.0966666325524946,1,0.442502081260788,0.174715213977891,0.132978477418987,0.0132488778497617,0.118906905402004,0.132053786289787,0.00222703730711766
"mesprenat",0.133624593347798,0.442502081260788,1,0.000964033747564722,0.142860242794949,0.00102786892751904,0.12286225747863,0.148098055878873,0.014221750769999
"gestacao",0.00624596929981823,0.174715213977891,0.000964033747564722,1,0.00288956288346085,0.0252081729533136,0.00724937141968601,0.00288708795718694,0.00725804379819026
"qtdfilvivo",0.400259681924723,0.132978477418987,0.142860242794949,0.00288956288346085,1,0.207383850188908,0.928952718327019,0.892947270081758,0.262761692562114
"qtdfilmort",0.197058673831236,0.0132488778497617,0.00102786892751904,0.0252081729533136,0.207383850188908,1,0.540953742448498,0.226561983145538,0.0862297901784546
"qtdgestant",0.415754288485936,0.118906905402004,0.12286225747863,0.00724937141968601,0.928952718327019,0.540953742448498,1,0.847923204238981,0.253917141694343
"qtdpartnor",0.316717815939339,0.132053786289787,0.148098055878873,0.00288708795718694,0.892947270081758,0.226561983145538,0.847923204238981,1,0.150884225634586
"qtdpartces",0.220376538980527,0.00222703730711766,0.014221750769999,0.00725804379819026,0.262761692562114,0.0862297901784546,0.253917141694343,0.150884225634586,1
